domain,country,provider_type,provider,count
smail.th-koeln.de,Germany,2.0,TH Köln,
gmx.net,unknown,0.0,0.0,
posteo.de,0,0.0,0.0,
yahoo.com,unknown,0.0,0.0,
stud.unibas.ch,Switzerland,2.0,University of Basel,
f269323f-fa99-4102-81fa-2e6ee79d13e8.ilias,Germany,1.0,Landesärztekammer BaWü,
stud.tu-darmstadt.de,Germany,2.0,TU Darmstadt,
uni-duesseldorf.de,Germany,2.0,HHU Düsseldorf,
freenet.de,unknown,0.0,0.0,
aol.com,unknown,0.0,0.0,
uni-hildesheim.de,Germany,2.0,Universität Hildesheim,
gmx.at,unknown,0.0,0.0,
me.com,unknown,0.0,0.0,
mailbox.org,0,0.0,0.0,
live.de,unknown,0.0,0.0,
online.de,unknown,0.0,0.0,
mail.de,0,0.0,0.0,
rwth-aachen.de,Germany,2.0,RWTH Aachen,
hu-berlin.de,Germany,2.0,HU Berlin,
stifterverband.de,unknown,1.0,0,
arcor.de,unknown,0.0,0.0,
uni-bonn.de,Germany,2.0,Universität Bonn,
uni-bielefeld.de,Germany,2.0,Universität Bielefeld,
student.uni-luebeck.de,Germany,2.0,Universität Lübeck,
stud.uni-hannover.de,Germany,2.0,Universität Hannover,
hdm-stuttgart.de,Germany,2.0,HdM Stuttgart,
campus.tu-berlin.de,Germany,2.0,TU Berlin,
stud.hs-heilbronn.de,Germany,2.0,Hochschule Heilbronn,
gmx.ch,unknown,0.0,0.0,
th-koeln.de,Germany,2.0,TH Köln,
bluewin.ch,unknown,0.0,0.0,
haw-hamburg.de,Germany,2.0,HAW Hamburg,
msstbarbara.stmk.schule,unknown,1.0,0,
tu-dortmund.de,Germany,2.0,TU Dortmund,
stud.hslu.ch,Switzerland,2.0,Hochschule Luzern,
dfki.de,unknown,1.0,0,
tum.de,Germany,2.0,TU München,
zhaw.ch,Switzerland,2.0,ZHAW - Zürcher Hochschule für Angewandte Wissenschaften,
email.de,0,0.0,0.0,
stud.hs-kempten.de,Germany,2.0,Hochschule Kempten,
uni-muenster.de,Germany,2.0,Universität Münster,
student.hu-berlin.de,Germany,2.0,HU Berlin,
stellantis.com,unknown,1.0,0,
tu-braunschweig.de,Germany,2.0,TU Braunschweig,
kit.edu,Germany,2.0,Karlsruher Institut für Technologie (KIT),
students.uni-mainz.de,Germany,2.0,Universität Mainz,
uni-bremen.de,Germany,2.0,Universität Bremen,
stud.uni-frankfurt.de,Germany,2.0,Universität Frankfurt,
uni-wuppertal.de,Germany,2.0,Universität Wuppertal,
uni-potsdam.de,Germany,2.0,Universität Potsdam,
tu-dresden.de,Germany,2.0,TU Dresden,
hs-rm.de,Germany,2.0,Hochschule RheinMain,
stud.hs-hannover.de,Germany,2.0,Hochschule Hannover,
yahoo.fr,unknown,0.0,0.0,
mail.uni-paderborn.de,Germany,2.0,Universität Paderborn,
uni-bamberg.de,Germany,2.0,Universität Bamberg,
hm.edu,Germany,2.0,Hochschule München,
edu.schulenbfi.at,unknown,1.0,0,
uni-koeln.de,Germany,2.0,Universität Köln,
hs-osnabrueck.de,Germany,2.0,Hochschule Osnabrück,
arbeitsagentur.de,unknown,1.0,0,
tu-berlin.de,Germany,2.0,TU Berlin,
hft-stuttgart.de,Germany,2.0,HfT Stuttgart,
uni-wh.de,Germany,2.0,Private Universität Witten/Herdecke,
mni.thm.de,Germany,2.0,Technische Hochschule Mittelhessen,
fh-burgenland.at,Austria,2.0,Fachhochschule Burgenland,
qq.com,unknown,0.0,0.0,
uni-konstanz.de,Germany,2.0,Universität Konstanz,
schule.saarland,unknown,1.0,0,
phwt.de,Germany,2.0,PHTW Vechta,
fh-muenster.de,Germany,2.0,Fachhochschule Münster,
europa-uni.de,Germany,2.0,Europa-Universität Viadrina,
bmfsfj.bund.de,unknown,1.0,0,
live.com,unknown,0.0,0.0,
red6-es.de,unknown,1.0,0,
stud.uni-stuttgart.de,Germany,2.0,Universität Stuttgart,
fu-berlin.de,Germany,2.0,FU Berlin,
holztechnikum.at,unknown,1.0,0,
ymail.com,unknown,0.0,0.0,
bht-berlin.de,Germany,2.0,Berliner Hochschule für Technik (BHT),
student.kit.edu,Germany,2.0,Karlsruher Institut für Technologie (KIT),
stud-mail.uni-wuerzburg.de,Germany,2.0,Universität Würzburg,
uwyo.edu,United States,2.0,University of Wyoming,
studium.fernuni-hagen.de,Germany,2.0,FernUniversität in Hagen,
studserv.uni-leipzig.de,Germany,2.0,Universität Leipzig,
uni-leipzig.de,Germany,2.0,Universität Leipzig,
uni-jena.de,Germany,2.0,Universität Jena,
student.hs-rm.de,Germany,2.0,Hochschule RheinMain,
student.medicalschool-hamburg.de,Germany,2.0,Medical School Hamburg,
student.dhbw-vs.de,Germany,2.0,DHBW,
hs-heilbronn.de,Germany,2.0,Hochschule Heilbronn,
hpi.de,unknown,1.0,0,
hs-koblenz.de,Germany,2.0,Hochschule Koblenz,
tu-darmstadt.de,Germany,2.0,TU Darmstadt,
