provider,state
TH Nürnberg Georg Simon Ohm,Bayern
HHU Düsseldorf,Nordrhein-Westfalen
TH Köln,Nordrhein-Westfalen
Universität Bielefeld,Nordrhein-Westfalen
Universität Wuppertal,Nordrhein-Westfalen
Universität Bonn,Nordrhein-Westfalen
Charité - Universitätsmedizin Berlin,Berlin
FH Dortmund,Nordrhein-Westfalen
Hochschule Meißen (FH) und Fortbildungszentrum,Sachsen
Universität Hannover,Niedersachsen
Universität Duisburg-Essen,Nordrhein-Westfalen
Universität Hildesheim,Niedersachsen
Universität Konstanz,Baden-Württemberg
HTW Berlin,Berlin
TU Darmstadt,Hessen
Europa-Universität Viadrina,Brandenburg
Hochschule für Wirtschaft und Gesellschaft Ludwigshafen,Rheinland-Pfalz
Hochschule Heilbronn,Baden-Württemberg
Hochschule Ruhr-West,Nordrhein-Westfalen
HfT Stuttgart,Baden-Württemberg
DHBW,Baden-Württemberg
RWTH Aachen,Nordrhein-Westfalen
TU Dortmund,Nordrhein-Westfalen
Universität Erlangen-Nürnberg,Bayern
FH Aachen,Nordrhein-Westfalen
Hochschule Niederrhein,Nordrhein-Westfalen
Universität München,Bayern
HU Berlin,Berlin
Hochschule Esslingen,Baden-Württemberg
Universität Münster,Nordrhein-Westfalen
FH des Mittelstandes,Nordrhein-Westfalen
FernUniversität in Hagen,Nordrhein-Westfalen
TU Berlin,Berlin
HdM Stuttgart,Baden-Württemberg
Ruhr-Uni Bochum,Nordrhein-Westfalen
TU Braunschweig,Niedersachsen
Hochschule Hamm-Lippstadt,Nordrhein-Westfalen
Universität Jena,Thüringen
TU Dresden,Sachsen
Hochschule Kempten,Bayern
Karlsruher Institut für Technologie (KIT),Baden-Württemberg
HAW Hamburg,Hamburg
TU München,Bayern
Hochschule Koblenz,Rheinland-Pfalz
Universität Lübeck,Schleswig-Holstein
Hochschule Mittweida,Sachsen
TH Brandenburg,Brandenburg
Universität Potsdam,Brandenburg
Hochschule München,Bayern
HNE Eberswalde,Brandenburg
Berliner Hochschule für Technik (BHT),Berlin
Evangelische Hochschule Rheinland-Westfalen-Lippe,Nordrhein-Westfalen
Universität Stuttgart,Baden-Württemberg
Fachhochschule Münster,Nordrhein-Westfalen
